Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,Avenue of the Saints / 731136,0.550,yes,2,no,190532450155844212,2342048454916718735
N/A,Avenue of the Saints / 731214,1.517,yes,343,no,190537397927760500,2342048454971244453
N/A,Avenue of the Saints / 731216,1.714,yes,164,no,190538497434145395,-6881345572105601145
N/A,Avenue of the Saints / 731265,2.281,yes,97,no,190807328001970906,-6881763385349750911
N/A,Avenue of the Saints / 731269,2.250,yes,275,no,190806228490867418,2341613049543147395
N/A,Avenue of the Saints / 731272,3.329,yes,89,no,190956861597504277,6953299068635332543
N/A,Avenue of the Saints / 731273,3.333,yes,268,no,190958510865470230,2341621846307258305
N/A,Avenue of the Saints / 731289,4.402,yes,90,no,191153124438266724,6953453001099984871
N/A,Avenue of the Saints / 731378,3.565,yes,271,no,191357633596314568,2341810963846545393
N/A,Avenue of the Saints / 7571399,0.374,yes,80,no,192865612415456917,-6893136725935117475
N/A,Avenue of the Saints / 7911005,0.162,yes,244,no,194232304360577285,2321782270717860953
N/A,Avenue of the Saints / 8090339,0.706,yes,134,no,193998108786514071,2325234736367149627
N/A,Avenue of the Saints / 8606322,0.007,yes,39,no,194246048262215948,-2289846573062939539
N/A,Avenue of the Saints / 874697,0.759,yes,7,no,194481340875889015,2297632598273290691
N/A,Avenue of the Saints / 875820,0.699,yes,350,no,194502783457122687,6927148297332199627
N/A,Avenue of the Saints / 877457,1.047,yes,277,no,192502224228799978,6945382590604915019
N/A,Avenue of the Saints / 878412,0.398,yes,189,no,192578640051000854,2331629490543799805
N/A,Avenue of the Saints / 888406,0.872,yes,272,no,192787547076253293,2330138553640561447
N/A,Avenue of the Saints / 888496,1.274,yes,182,no,192340046425183657,-6888523177181301733
N/A,Avenue of the Saints / 888647,1.111,yes,92,no,192791945122240108,-6893237881227171031
N/A,Avenue of the Saints / 888924,3.729,yes,90,no,192382927302120873,-6888734282944073055
N/A,Avenue of the Saints / 889333,2.752,yes,180,no,192084410594579749,-6882933260898255705
N/A,Avenue of the Saints / 889651,0.671,yes,89,no,192034382839633176,6952124794104986997
N/A,Avenue of the Saints / 8909185,0.616,yes,1,no,194301023362308389,-2293958746339011227
N/A,Avenue of the Saints / 911457,0.480,yes,1,no,194506080716413315,2304744239569829333
N/A,Avenue of the Saints / 911631,0.997,yes,356,no,194503332920908161,2313060945513942111
N/A,Avenue of the Saints / 913666,0.335,yes,27,no,194568203020097949,-2307904950796026759
N/A,Avenue of the Saints / 913884,0.805,yes,174,no,194504981199542658,-2306946176889389647
N/A,Avenue of the Saints / 916107,1.728,yes,2,no,191938175644030194,2341261209947356709
N/A,Avenue of the Saints / 916483,0.637,yes,186,no,192539057573680641,6942805335422807337
N/A,Avenue of the Saints / 916819,0.541,yes,102,no,192490679356708330,2333692174059712869
N/A,Avenue of the Saints / 916851,4.284,yes,270,no,191154773706232677,-2269901443572940823
N/A,Avenue of the Saints / 917173,2.681,yes,360,no,192084960349869351,6952129192432516265
