Zone ID,Zone Name,Line Zone Length (Miles),Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Fingerprint1,Fingerprint2
N/A,motorway_link / 11211641,0.056,yes,336,no,194233403978111238,-2288997750132433433
N/A,motorway_link / 11211690,0.332,yes,279,no,193364790476887928,-2283249506632849381
N/A,motorway_link / 11211807,0.091,yes,288,no,194171831326955754,6934365490400730599
N/A,motorway_link / 11213532,0.630,yes,116,no,190166309689971143,-6907206087019064775
N/A,motorway_link / 11237733,0.258,yes,31,no,184188266161981230,-6897240136450300891
N/A,motorway_link / 11237734,0.091,yes,117,no,184261933232375631,-2287269355887517445
N/A,motorway_link / 11241371,0.035,yes,298,no,183832024944559756,-2280909782276625335
N/A,motorway_link / 11264681,0.063,yes,270,no,189697367970762999,-6907294049767517649
N/A,motorway_link / 11275841,0.027,yes,350,no,184254237955934029,2335359002223850609
N/A,motorway_link / 11276199,0.019,yes,133,no,184590686524360678,2318668416999757511
N/A,motorway_link / 11279199,0.231,yes,146,no,185077219211692226,2308561707981604031
N/A,motorway_link / 11307787,0.128,yes,143,no,183999150682097368,2330529946187869139
N/A,motorway_link / 11307788,0.268,yes,152,no,184004098479179481,-2281173664406688841
N/A,motorway_link / 11328020,0.108,yes,114,no,194301572994390309,2316772896001758055
N/A,motorway_link / 11374439,0.057,yes,200,no,194171831388297451,2323185247317925589
N/A,motorway_link / 11383360,0.011,yes,281,no,194139395547814108,2321118165329779491
N/A,motorway_link / 11383475,0.320,yes,283,no,191535201717933113,2316601361653830425
N/A,motorway_link / 11383488,0.300,yes,293,no,194622630377118133,-6906695896632650955
N/A,motorway_link / 11383550,0.148,yes,87,no,190454381782061647,2316539784864994051
N/A,motorway_link / 11394019,0.326,yes,155,no,195276289235049184,2309951529585477419
N/A,motorway_link / 11436074,0.408,yes,67,no,195656172596976522,-2284234660304116103
N/A,motorway_link / 11437791,0.035,yes,139,no,194268588132096278,-2290831735395444057
N/A,motorway_link / 11447946,0.046,yes,341,no,196457167217319162,6942523875390401635
N/A,motorway_link / 11489887,0.335,yes,161,no,190058557824127387,6930182932473583189
N/A,motorway_link / 11514438,0.519,yes,309,no,190056358521426329,6927856365894373941
N/A,motorway_link / 11514973,0.384,yes,209,no,190545644436411000,6954943936191283871
N/A,motorway_link / 11514974,0.366,yes,189,no,190542895646855799,-2268520459661196683
N/A,motorway_link / 11515948,0.266,yes,121,no,186652819943672717,6925010816797248831
N/A,motorway_link / 11527406,0.252,yes,109,no,192829878280214151,-2281521076423873739
N/A,motorway_link / 11693413,0.051,yes,88,no,194233953731303686,-2289028536453816865
N/A,motorway_link / 11697441,0.060,yes,185,no,189896379268682066,-2298189683887174239
N/A,motorway_link / 11697821,0.325,yes,189,no,190061857457394077,6939313277041125081
N/A,motorway_link / 11706754,0.440,yes,26,no,190062406113251741,-6904985073952483717
N/A,motorway_link / 11727711,0.334,yes,152,no,190559388046545534,-6882427491503292873
N/A,motorway_link / 11727748,0.022,yes,283,no,194235053244504327,-6900701360741671451
N/A,motorway_link / 11789006,0.055,yes,273,no,185044783634925748,2308671659014358279
N/A,motorway_link / 11789581,0.238,yes,174,no,184922188128274556,-6914335340449757805
N/A,motorway_link / 11791787,0.031,yes,149,no,184739669970339881,-2296201786533342945
N/A,motorway_link / 11792209,0.015,yes,86,no,184983760736438424,-2303040747926977285
N/A,motorway_link / 11797465,0.415,yes,192,no,184730327016097828,-6883658966758310823
N/A,motorway_link / 11821010,0.031,yes,78,no,183903493107041965,2329993384144415463
N/A,motorway_link / 11829247,0.097,yes,298,no,183845219080947346,6942440264400120891
N/A,motorway_link / 11889641,0.009,yes,80,no,194251545873307919,2322288046129552695
N/A,motorway_link / 11889659,0.333,yes,157,no,194174580162124011,2323185247338897069
N/A,motorway_link / 11890101,0.032,yes,53,no,194250446311348494,-6901506203192386439
N/A,motorway_link / 11890102,0.035,yes,101,no,194251545823500559,2321870231713094775
N/A,motorway_link / 11898142,0.594,yes,282,no,191007985133769542,-6913134650492713017
N/A,motorway_link / 11898452,0.008,yes,151,no,194241100543777034,-6900824506020913747
N/A,motorway_link / 11904550,0.347,yes,285,no,192906292746081960,6928529277873820547
N/A,motorway_link / 11908410,0.169,yes,44,no,194512129310677380,-6907962534466154227
N/A,motorway_link / 11931763,0.048,yes,360,yes,195493441750784836,2301260990497421283
N/A,motorway_link / 11963228,0.424,yes,126,no,193360391030527862,6928388542119809851
N/A,motorway_link / 11973940,0.356,yes,41,no,196187786762607741,6941595886567828191
N/A,motorway_link / 12029957,0.401,yes,123,no,190039865833902480,-6907355621095370245
N/A,motorway_link / 12030099,0.044,yes,278,no,189776532680560924,2315009262087049289
N/A,motorway_link / 12039490,0.432,yes,141,no,194132248718039253,-6902258269573604603
N/A,motorway_link / 12039510,0.044,yes,336,no,194254844359432464,-6901488610989564805
N/A,motorway_link / 12042611,0.015,yes,62,no,192533560008201729,-2280562303410623255
N/A,motorway_link / 12042955,0.290,yes,69,no,194903006310390325,2320577208544926265
N/A,motorway_link / 12044057,0.311,yes,166,no,189589614825656518,-6915689920968260829
N/A,motorway_link / 12214185,0.323,yes,76,no,190047562372305304,6927306610017571163
N/A,motorway_link / 12214905,0.293,yes,78,no,189998634147336575,-6907395203669159409
N/A,motorway_link / 12217704,0.247,yes,6,no,190048112336785815,-6906009818850388845
N/A,motorway_link / 12219351,0.068,yes,83,no,194238901533628680,-2289028536434942497
N/A,motorway_link / 12219396,0.020,yes,179,no,196442323777314035,-6892815654927193111
N/A,motorway_link / 12306152,0.013,yes,269,no,185044783630207156,-6914739960263211787
N/A,motorway_link / 12306153,0.033,yes,268,no,185043684118579379,-2303053941837921035
N/A,motorway_link / 12308499,0.448,yes,248,no,184924936946141307,6920977801571993147
N/A,motorway_link / 12309649,0.387,yes,149,no,185271287537551640,2346472869620369453
N/A,motorway_link / 12312356,0.317,yes,313,no,184940330037627011,2308764017607312663
N/A,motorway_link / 12314064,0.393,yes,198,no,184256437014316876,-6887762345967209203
N/A,motorway_link / 12314293,0.326,yes,220,no,184664356247652357,-2272496316119499961
N/A,motorway_link / 12317442,0.286,yes,350,no,189607757695504591,6927152676709863671
N/A,motorway_link / 12355568,0.060,yes,85,no,189742447820099852,6926695280386510923
N/A,motorway_link / 12360529,0.015,yes,119,yes,195493441756027716,2301309369011140595
N/A,motorway_link / 12407480,0.270,yes,345,no,194176779184855277,2323180849292385967
N/A,motorway_link / 12407929,0.161,yes,56,no,194242199968373001,-6901563377822196633
N/A,motorway_link / 12418995,0.244,yes,165,no,194252645338798350,-6901497407101461373
N/A,motorway_link / 12419041,0.031,yes,231,no,191764449922208932,2316843255063384973
N/A,motorway_link / 12419042,0.415,yes,243,no,191756203581854876,-6906563966167673975
N/A,motorway_link / 12419043,0.469,yes,126,no,191756753334523036,-6906568364209990813
N/A,motorway_link / 12425786,0.059,yes,174,no,194301023254829349,-2294789977131707477
N/A,motorway_link / 12425877,0.389,yes,58,no,192734768928478810,2316781686140965755
N/A,motorway_link / 12425928,0.356,yes,7,no,194502233429727617,2313060945507650811
N/A,motorway_link / 12447288,0.184,yes,297,no,195601745383611251,-2295832309180395073
N/A,motorway_link / 12522011,0.229,yes,277,no,190029970978984333,-6901075210717356743
N/A,motorway_link / 12522432,0.239,yes,88,no,194332909077879090,2316781692226900849
N/A,motorway_link / 12556703,0.008,yes,300,no,189732002312311048,2313773410845462039
N/A,motorway_link / 12557156,0.346,yes,67,no,193038235718473444,6941727815954869003
N/A,motorway_link / 12559288,0.149,yes,339,no,185096460366334155,-6917326011408318385
N/A,motorway_link / 12559536,0.348,yes,100,no,185708889213323743,2313333590872558921
